Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2001,22,SDG,qb,9,1,0,,15,27,55.6,221,1,3.7,0,0,11,40,8.2,8.9,14.7,221,94.8,,2,12,6.9,7.21,7.9,,,1,
2002,23,SDG,QB,9,16,16,8-8-2000,320,526,60.8,3284,17,3.2,16,3,164,52,6.2,5.5,10.3,205.3,76.9,,24,180,4.4,5.64,4.95,2,4,10,
2003,24,SDG,QB,9,11,11,2-9-2000,205,356,57.6,2108,11,3.1,15,4.2,94,68,5.9,4.6,10.3,191.6,67.5,,21,178,5.6,5.12,3.91,0,1,6,
2004*,25,SDG,QB,9,15,15,11-4-2000,262,400,65.5,3159,27,6.8,7,1.8,142,79,7.9,8.5,12.1,210.6,104.8,,18,131,4.3,7.24,7.78,1,2,17,AP OPoY-5 AP CPoY-1 PB
2005,26,SDG,QB,9,16,16,9-7-2000,323,500,64.6,3576,24,4.8,15,3,183,54,7.2,6.8,11.1,223.5,89.2,,27,223,5.1,6.36,5.99,2,2,15,
2006*+,27,NOR,QB,9,16,16,10-6-2000,356,554,64.3,4418,26,4.7,11,2,202,86,8,8,12.4,276.1,96.2,66.7,18,105,3.1,7.54,7.58,1,2,15,AP MVP-2 AP OPoY-2 AP CPoY-2 AP1 PB
2007,28,NOR,QB,9,16,16,7-9-2000,440,652,67.5,4423,28,4.3,18,2.8,233,58,6.8,6.4,10.1,276.4,89.4,64.6,16,109,2.4,6.46,6.08,1,1,14,
2008*,29,NOR,QB,9,16,16,8-8-2000,413,635,65,5069,34,5.4,17,2.7,233,84,8,7.8,12.3,316.8,96.2,65.7,13,92,2,7.68,7.55,2,2,17,AP OPoY-1 AP2 PB
2009*,30,NOR,QB,9,15,15,13-2-0,363,514,70.6,4388,34,6.6,11,2.1,210,75,8.5,8.9,12.1,292.5,109.6,82,20,135,3.7,7.96,8.31,2,4,16,AP MVP-2 AP OPoY-2 AP2 PB
2010*,31,NOR,QB,9,16,16,11-5-2000,448,658,68.1,4620,33,5,22,3.3,238,80,7,6.5,10.3,288.8,90.9,70.8,25,185,3.7,6.49,6.01,4,5,14,PB
2011*,32,NOR,QB,9,16,16,13-3-0,468,657,71.2,5476,46,7,14,2.1,279,79,8.3,8.8,11.7,342.3,110.6,82.3,24,158,3.5,7.81,8.23,3,4,20,AP MVP-2 AP OPoY-1 AP2 PB
2012*,33,NOR,QB,9,16,16,7-9-2000,422,670,63,5177,43,6.4,19,2.8,266,80,7.7,7.7,12.3,323.6,96.3,68.7,26,190,3.7,7.17,7.17,1,2,15,PB
2013*,34,NOR,QB,9,16,16,11-5-2000,446,650,68.6,5162,39,6,12,1.8,246,76,7.9,8.3,11.6,322.6,104.7,69.1,37,244,5.4,7.16,7.51,2,2,17,AP OPoY-4 PB
2014*,35,NOR,QB,9,16,16,7-9-2000,456,659,69.2,4952,33,5,17,2.6,259,69,7.5,7.4,10.9,309.5,97,74.8,29,186,4.2,6.93,6.77,2,2,16,PB
2015,36,NOR,QB,9,15,15,7-8-2000,428,627,68.3,4870,32,5.1,11,1.8,228,80,7.8,8,11.4,324.7,101,66.8,31,235,4.7,7.04,7.26,1,2,14,
2016*,37,NOR,QB,9,16,16,7-9-2000,471,673,70,5208,37,5.5,15,2.2,265,98,7.7,7.8,11.1,325.5,101.7,66.8,27,184,3.9,7.18,7.27,2,4,16,AP OPoY-6 PB
2017*,38,NOR,QB,9,16,16,11-5-2000,386,536,72,4334,23,4.3,8,1.5,203,54,8.1,8.3,11.2,270.9,103.9,62.5,20,145,3.6,7.53,7.71,2,2,17,PB
2018*,39,NOR,QB,9,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1,223,72,8.2,9,11,266.1,115.7,79.2,17,121,3.4,7.65,8.47,6,7,16,AP MVP-2 AP OPoY-2 AP2 PB
2019*,40,NOR,QB,9,11,11,8-3-2000,281,378,74.3,2979,27,7.1,4,1.1,159,61,7.9,8.8,10.6,270.8,116.3,73.3,12,89,3.1,7.41,8.33,1,2,11,PB
2020,41,NOR,QB,9,12,12,9-3-2000,275,390,70.5,2942,24,6.2,6,1.5,149,52,7.5,8.1,10.7,245.2,106.4,68.3,13,89,3.2,7.08,7.6,1,3,10,
Career,,,,,287,286,172-114-0,7142,10551,67.7,80358,571,5.4,243,2.3,3987,98,7.6,7.7,11.3,280,98.7,,420,2991,3.8,7.05,7.1,36,53,277,
15 yrs,,NOR,,,228,228,142-86-0,6017,8742,68.8,68010,491,5.6,190,2.2,3393,98,7.8,7.9,11.3,298.3,101.5,,328,2267,3.6,7.25,7.39,31,44,228,
5 yrs,,SDG,,,59,58,30-28-0,1125,1809,62.2,12348,80,4.4,53,2.9,594,79,6.8,6.4,11,209.3,84.9,,92,724,4.8,6.11,5.7,5,9,49,
